"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part #"
"C1,C5,C6","3","4.7uF","","","","C_GRM188R61A475KE15D:C_GRM188R61A475KE15D","https://www.murata.com/en-us/products/productdetail?partno=GRM188R61A475KE15%23","C71633"
"C2,C3","2","22uF","","","","C_GRM188R61A226ME15D:C_GRM188R61A226ME15D","https://www.murata.com/en-us/products/productdetail?partno=GRM188R61A226ME15%23","C84419"
"C4,C14","2","1uF","","","","C_GRM155R61A105KE15D:C_GRM155R61A105KE15D","https://www.murata.com/en-us/products/productdetail?partno=GRM155R61A105KE15%23","C76999"
"C7,C8,C11","3","10uF","","","","C_GRM155R61A106ME11D:C_GRM155R61A106ME11D","https://www.murata.com/en-us/products/productdetail?partno=GRM155R61A106ME11%23","C408132"
"C9,C10,C12,C13,C15,C17,C18,C19,C20,C21,C23","11","100nF","","","","C_GRM155R71C104KA88D:C_GRM155R71C104KA88D","https://www.murata.com/en-us/products/productdetail?partno=GRM155R71C104KA88%23","C71629"
"C16,C24","2","10nF","","","","C_CL05B103KO5NNNC:C_CL05B103KO5NNNC","https://datasheet.lcsc.com/datasheet/pdf/41a015f3bd6eee417cc7fa790e5ff570.pdf?productCode=C318577","C318577"
"C22","1","100uF","","","","C_EMK325ABJ107MM-T:C_EMK325ABJ107MM-T","https://www.lcsc.com/datasheet/lcsc_datasheet_2411041529_Taiyo-Yuden-EMK325ABJ107MM-T_C394395.pdf","C394395"
"C25","1","1nF","","","","C_CC0603CG100V102JN:C_CC0603CG100V102JN","https://datasheet.lcsc.com/datasheet/pdf/cb1030107ef4ece4b7f957d332c41950.pdf?productCode=C53084479","C53084479"
"D1","1","USBLC6-2SC6","","","","D_USBLC6-2SC6:D_USBLC6-2SC6","https://datasheet.lcsc.com/datasheet/pdf/0d3a2ab954b34651a0695e7ccf534db0.pdf?productCode=C7519","C7519"
"J1,J2","2","436500200","","","","J_436500200:J_436500200","https://www.molex.com/en-us/products/part-detail-pdf/436500200?display=pdf","C192562"
"J3","1","TF-115-BCP9","","","","J_TF-115-BCP9:J_TF-115-BCP9","https://www.lcsc.com/datasheet/C720505.pdf","C720505"
"J4","1","0.5K-A-20PB","","","","J_0.5K-A-20PB:J_0.5K-A-20PB","https://www.lcsc.com/datasheet/C2914144.pdf","C2914144"
"J5","1","61300411121","","","","J_61300411121:J_61300411121","https://www.we-online.com/catalog/datasheet/61300411121.pdf","C5184785"
"J6","1","RJ45-HANRUN","","","","J_RJ45-HANRUN:J_RJ45-HANRUN_TH","https://lcsc.com/product-detail/Ethernet-Connectors-Modular-Connectors_Zhongshan-HanRun-Elec-HY951180A_C34677.html","C34677"
"J7","1","USB-C-16P","","","","J_USB-C-16P:J_USB-C-16P_SMD","https://www.lcsc.com/datasheet/C5187468.pdf","C5187468"
"L1","1","FHD4020S-1R0MT","","","","L_FHD4020S-1R0MT:L_FHD4020S-1R0MT","https://www.lcsc.com/datasheet/C602028.pdf","C602028"
"LED1","1","LTST-C193KGKT-5A","","","","LED_LTST-C193KGKT-5A:LED_LTST-C193KGKT-5A","https://optoelectronics.liteon.com/upload/download/DS22-2007-0094/LTST-C193KGKT-5A.PDF","C125102"
"LED2","1","LTST-C193KRKT-5A","","","","LED_LTST-C193KRKT-5A:LED_LTST-C193KRKT-5A","https://optoelectronics.liteon.com/upload/download/DS22-2005-077/LTST-C193KRKT-5A.PDF","C157741"
"LED6,LED7,LED8,LED9","4","SZYY0402YG","","","","LED_SZYY0402YG:LED_SZYY0402YG","https://www.lcsc.com/datasheet/C434449.pdf","C434449"
"M1","1","MIC4013-X","","","","M_MIC4013-X:M_MIC4013-X","https://www.lcsc.com/datasheet/C49118137.pdf","C49118137"
"Q1,Q2","2","DMG2305UX-13","","","","Q_DMG2305UX-13:Q_DMG2305UX-13","https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf","C144153"
"Q3,Q4,Q5","3","NDS7002A","","","","Q_NDS7002A:Q_NDS7002A","https://www.onsemi.com/pdf/datasheet/nds7002a-d.pdf","C74715"
"R1,R3,R5,R8,R11,R15,R17,R32,R33,R34","10","100K","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-07100KL","C60490,C60491"
"R2","1","768K","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-07768KL","C273722"
"R4","1","330K","","","","R_RC0402FR:R_RC0402FR","https://www.lcsc.com/datasheet/C25778.pdf","C25778"
"R6,R10,R13,R21,R23,R24,R25,R26,R29,R31,R35","11","10K","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-0710KL","C60490"
"R7,R16,R20","3","100R","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-07100RL","C106232"
"R9","1","1K10","","","","R_RC0402FR:R_RC0402FR","https://www.lcsc.com/datasheet/C25860.pdf","C25860"
"R12","1","887R","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-07887RL","C477810"
"R14,R18","2","200K","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-07200KL","C114763"
"R19","1","2K2","","","","R_RC0402FR:R_RC0402FR","https://www.lcsc.com/datasheet/C25879.pdf","C25879"
"R22,R30","2","5K1","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-075K1L","C105872"
"R27,R28","2","4K7","","","","R_RC0402FR:R_RC0402FR","https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RC0402FR-074K7L","C105871"
"SW2,SW3","2","PTS526SK15SMTR2LFS","","","","SW_PTS526SK15SMTR2LFS:SW_PTS526SK15SMTR2LFS","https://www.littelfuse.com/assetdocs/littelfuse-ck-tactile-pts526-series-datasheet?assetguid=bb56c1b4-71ca-4262-9bd7-cf3e3c572bb3","C2689521"
"TP1,TP2","2","TestPoint","DNP","","","","",""
"U0","1","Core1106","","","","P_Core1106:P_Core1106","https://wiki.luckfox.com/Core1106/",""
"U1","1","TPS61023DRLR","","","","U_TPS61023DRLR:U_TPS61023DRLR","https://www.ti.com/lit/gpn/tps61023","C919459"
"U2","1","TPS2116DRLR","","","","U_TPS2116DRLR:U_TPS2116DRLR","https://www.ti.com/lit/gpn/tps2116","C3235557"
"U3","1","BQ24074RGTT","","","","U_BQ24074RGTT:U_BQ24074RGTT","https://www.ti.com/lit/gpn/bq24074","C2861252"
